name,latitude,longitude,Region.num,dep,x,y
Gosforth,54.418631,-3.434853,Cu 6,no hyperrhoticity,306.904356338178,503.540432046354
Egton,54.448889,-0.753408,Y 4,no hyperrhoticity,480.822040388464,506.674152984099
Melsonby,54.470842,-1.695177,Y 1,no hyperrhoticity,419.752915469449,508.444002794976
Stokesley,54.471908,-1.18531,Y 2,no hyperrhoticity,452.79107316989,508.825298038961
Soulby,54.494361,-2.387226,We 3,no hyperrhoticity,374.921683962504,511.086942778082
Patterdale,54.536462,-2.938237,We 2,no hyperrhoticity,339.299184244132,516.106933994889
Skelton-in-Cleveland,54.561954,-0.98951,Y 3,no hyperrhoticity,465.334442058818,519.007802198742
Great Strickland,54.597917,-2.687681,We 1,no hyperrhoticity,355.575893675062,522.756984733181
Eggleston,54.609575,-2.002492,Du 6,no hyperrhoticity,399.839061832347,523.836769786569
Threlkeld,54.618972,-3.054252,Cu 4,no hyperrhoticity,331.931318955468,525.392904155356
Brigham,54.659016,-3.417476,Cu 3,no hyperrhoticity,308.570723101898,530.260323721842
Witton-le-Wear,54.677992,-1.778925,Du 4,no hyperrhoticity,414.253483570854,531.471454996965
Bishop Middleham,54.679575,-1.486441,Du 5,no hyperrhoticity,433.109549208442,531.746221856534
Hunsonby,54.715531,-2.652587,Cu 5,no hyperrhoticity,357.964509510626,535.821155344124
Wearhead,54.754126,-2.225339,Du 3,no hyperrhoticity,385.498797318579,539.943273315438
Abbeytown,54.844664,-3.288249,Cu 2,no hyperrhoticity,317.284883585386,550.754061889535
Ebchester,54.893863,-1.841485,Du 2,no hyperrhoticity,410.165733492693,555.479450842778
