latitude,longitude,dep,x,y
54.08502,-1.75522,coronal,416.010944463896,465.503997146985
54.120007,-1.191878,coronal,452.813909938887,469.670479701366
54.122411,-4.688597,coronal,224.318256620432,472.97705446194
54.144371,-2.292748,coronal,380.878832869342,472.118854880759
54.144792,-2.534649,coronal,365.079260444805,472.258156398469
54.156024,-0.702931,coronal,484.69358924944,474.152852831042
54.167485,-2.760593,coronal,350.349068358257,474.917964516724
54.199149,-2.949692,coronal,338.052499908247,478.589936520207
54.246109,-1.064661,coronal,460.942096227195,483.801750204575
54.277644,-2.455109,coronal,370.369634922465,487.002034221165
54.288701,-1.593318,coronal,426.470401189282,488.212930516839
54.294629,-1.340648,coronal,442.910012554607,488.996672205219
54.314967,-2.081093,coronal,394.725107670401,491.061940500481
54.368387,-4.447327,coronal,241.029390013599,499.762454897644
54.369071,-3.07587,coronal,330.110554226542,497.611712986161
54.376702,-2.140116,coronal,390.899462523202,497.936409412111
54.377897,-2.817677,coronal,346.893963366979,498.368358993654
54.418631,-3.434853,coronal,306.904356338178,503.540432046354
54.448889,-0.753408,coronal,480.822040388464,506.674152984099
54.470842,-1.695177,coronal,419.752915469449,508.444002794976
54.471908,-1.18531,coronal,452.79107316989,508.825298038961
54.494361,-2.387226,coronal,374.921683962504,511.086942778082
54.536462,-2.938237,coronal,339.299184244132,516.106933994889
54.561954,-0.98951,coronal,465.334442058818,519.007802198742
54.597917,-2.687681,coronal,355.575893675062,522.756984733181
54.609575,-2.002492,coronal,399.839061832347,523.836769786569
54.618972,-3.054252,coronal,331.931318955468,525.392904155356
54.659016,-3.417476,coronal,308.570723101898,530.260323721842
54.677992,-1.778925,coronal,414.253483570854,531.471454996965
54.679575,-1.486441,coronal,433.109549208442,531.746221856534
54.715531,-2.652587,coronal,357.964509510626,535.821155344124
54.754126,-2.225339,coronal,385.498797318579,539.943273315438
54.844664,-3.288249,coronal,317.284883585386,550.754061889535
54.893863,-1.841485,uvular,410.165733492693,555.479450842778
54.896837,-2.25502,coronal,383.646515609155,555.828630100643
54.897432,-1.517366,uvular,430.948978504076,555.97170293945
54.972237,-2.460856,uvular,370.502326804603,564.285601809278
54.998474,-1.802084,uvular,412.659643576451,567.125728009132
55.009299,-2.971888,coronal,337.851159326444,568.744151482091
55.045871,-1.494876,uvular,432.271902619779,572.498255109538
55.093473,-2.319751,uvular,379.595585875686,577.725045331098
55.220624,-1.563917,uvular,427.73953794101,591.913405375689
55.313093,-1.951753,uvular,403.061914359915,602.117155667991
55.495952,-1.635481,uvular,423.026963505221,622.524373616708
55.651169,-1.976763,uvular,401.462125683641,639.736740653343
